"","participant","trial","condition_nums","time_through_maze","max_force","path_length","haptic","visual","map","average_velocity","average_proximity","average_force"
"420","41","P41_6","1",30.12,1.32778653596606,22.3432408250663,"1","1",11,0.741623288244934,0.845671541725635,0.446277870419957
"421","41","P41_7","4",77.47,0.537725064503341,25.1634092948498,"0","0",11,0.324790922152879,0.76024449992615,0.0740476510571286
"422","41","P41_8","3",28.36,2.21341148560706,23.2207841596943,"0","1",11,0.818588197849547,0.832410089079769,0.65291473019201
"423","41","P41_9","2",296.63,2.7988239539106,42.8326683166412,"1","0",3,0.167201931261884,0.557086831830216,0.399190293190578
"424","42","P42_10","3",42.2,1.48328778147026,28.9473773429581,"0","1",3,0.682904119285314,0.7065310311784,0.386959067894918
"425","42","P42_14","1",38.61,2.0850496225502,20.1612457687374,"1","1",5,0.556537715454275,0.718589651515749,0.591324795475721
"426","42","P42_15","4",23.68,2.01390855255278,18.8975503404642,"0","0",5,0.797743481043214,0.689792175486587,0.641986967994918
"427","42","P42_16","3",37.46,1.35192700506016,21.1845172124462,"0","1",5,0.562262611585134,0.78575480302886,0.285103365427227
"428","42","P42_17","3",49.54,1.61886429503583,27.3818757759285,"0","1",6,0.552647178635213,0.840958674274183,0.241118200830247
"429","42","P42_18","4",51.6,2.0001079301326,22.4826088403166,"0","0",6,0.431689792661816,0.794124497629622,0.257386272155426
"430","42","P42_19","1",35.52,0.523724151331864,19.9229307148929,"1","1",6,0.560772572901278,0.870512464716762,0.208618438928089
"431","42","P42_2","4",25.5,1.89745725879503,19.6241548295607,"0","0",10,0.769289378852179,0.716503698667662,0.516077248955026
"432","42","P42_22","1",75.72,2.00521500927582,23.7670592565914,"1","1",7,0.314179616578547,0.707570969879877,0.379081678547912
"433","42","P42_23","3",32.45,0.883908030553984,19.2585043910368,"0","1",7,0.593350642534318,0.793777440938312,0.20453185794909
"434","42","P42_25","3",42.54,1.02979472112222,20.3717457664889,"0","1",8,0.47793014872407,0.822101048248425,0.254009790304556
"435","42","P42_26","4",69.37,1.77390256881278,27.3450924689252,"0","0",8,0.390827935961507,0.750477440869287,0.2055430642646
"436","42","P42_27","1",40.75,1.05001148941099,19.6573393589988,"1","1",8,0.487961074871716,0.828663907557614,0.270421317437355
"437","42","P42_29","1",54.25,2.12716536302752,23.5939291885801,"1","1",9,0.430890920244596,0.775937661460595,0.447741890433175
"438","42","P42_3","3",33.46,2.00170899372577,19.731427034926,"0","1",10,0.589536176090978,0.76409062045473,0.283942957579973
"439","42","P42_30","3",40.28,0.981204104066763,20.2532521486104,"0","1",9,0.502698768601171,0.743745843577516,0.221320941182614
"440","42","P42_31","4",60.24,1.0749762655577,26.1525853252038,"0","0",9,0.431398466081048,0.712455860109759,0.232682336381367
"441","42","P42_4","1",91.83,2.04547563664165,23.2113628987305,"1","1",10,0.333750608298987,0.67959914541663,0.324620603152226
"442","42","P42_6","1",74.72,2.00003755411694,26.2558861566384,"1","1",11,0.35133670652007,0.68122232894287,0.39755823891751
"443","42","P42_7","3",35.14,2.23791117058943,24.3676123194876,"0","1",11,0.693313933652299,0.697025632183163,0.602378317272957
"444","42","P42_9","2",387.76,2.82842712474619,52.4297639386282,"1","0",3,0.24018618478354,0.544687355381878,1.09770605497163
"445","43","P43_1","4",25.67,1.88541864071955,18.006401440332,"0","0",10,0.701184721259097,0.724067892892206,0.339792320526885
"446","43","P43_10","3",49.63,2.02904157971164,30.7841669225989,"0","1",3,0.606771466175799,0.710727434255058,0.557351939448803
"447","43","P43_12","4",51.66,1.06918287272846,29.3646102291486,"0","0",3,0.568333345755686,0.716395177518902,0.348818552841572
"448","43","P43_13","3",38.52,2.21965637441747,21.0388791824082,"0","1",5,0.545718524073688,0.855237513213665,0.380498243559653
"449","43","P43_15","4",39.16,1.54376030833976,21.9093999956131,"0","0",5,0.55439428869,0.706500571979874,0.432082211417803
"450","43","P43_16","1",99.26,2.82842712474619,28.5664746088321,"1","1",5,0.33452951401209,0.547891314505456,1.85831188631532
"451","43","P43_18","4",24.65,1.66337542159782,19.294864915995,"0","0",6,0.782462452565148,0.744520785272841,0.298225084690255
"452","43","P43_19","1",43.33,2.82842712474619,22.7511955260338,"1","1",6,1.47099556731826,0.638775708914927,1.29616480970265
"453","43","P43_2","3",21.92,1.44876451714306,17.8908269284445,"0","1",10,0.815837967136227,0.79235436248672,0.663863443945584
"454","43","P43_20","3",22,2.08032912181009,20.044749679261,"0","1",6,0.910649812646534,0.734519282884797,0.527073500647787
"455","43","P43_22","3",29.77,2,18.9042343974261,"0","1",7,0.634866648018592,0.87383425823395,0.319706962925224
"456","43","P43_23","1",45.9,2.82842712474619,27.4917394190693,"1","1",7,0.595123324259766,0.710812269955769,1.2363373472494
"457","43","P43_25","3",24.58,1.32072501421334,18.6830949210842,"0","1",8,0.759858776048698,0.859605133783517,0.417855814517064
"458","43","P43_26","4",31.79,1.43438447889895,17.7389466388822,"0","0",8,0.557838845578047,0.721740244755934,0.3199666886579
"459","43","P43_28","1",19.63,2.40490184111142,18.9986973339864,"1","1",8,0.992660960804084,0.783705370398023,1.33866703138691
"460","43","P43_30","3",24.04,1.63718841564869,18.3740652128922,"0","1",9,0.764000770945916,0.825709313482076,0.597362608803393
