"","participant","haptic","visual","condition_nums","experiment","average_time_through_maze","average_path_length","average_velocity","average_proximity","average_force"
"124",16,"1","0","2",2,321.33,45.8318051883855,0.188008318009964,0.545029847947338,1.1655498909301
"125",16,"1","1","1",1,25.85,22.8492785999546,0.922101904182352,0.764937192249161,1.17426507845676
"126",16,"1","1","1",2,52.03,24.4520267219804,0.84832734159855,0.670296165943544,1.43237026866357
"127",17,"0","0","4",1,32.5675,25.2549923675039,0.861121547265223,0.821178777910619,0.92055510071266
"128",17,"0","0","4",2,41.335,24.3519884572234,0.602535478237728,0.763288508660846,0.324692567536336
"129",17,"0","1","3",1,22.1075,20.3920538233793,0.950729316896936,0.867983600014077,1.0796968893649
"130",17,"0","1","3",2,20.21875,20.7613051500558,1.04346572379513,0.903161954166839,1.19364517066612
"131",17,"1","0","2",1,33.4485714285714,22.534290173206,0.673651079518677,0.704663579296101,0.702356432035397
"132",17,"1","0","2",2,110.607142857143,27.1638097412321,0.429874443583584,0.662969179501283,0.846351842054545
"133",17,"1","1","1",1,21.50625,20.171140387134,0.961709763582387,0.825189052901516,1.00177226096545
"134",17,"1","1","1",2,21.36875,20.9399971405782,1.00521896312783,0.836130629848427,1.24016446599339
"135",18,"0","0","4",1,34.1728571428571,23.5587907686542,0.71265570677229,0.781891473179015,0.53227410683901
"136",18,"0","0","4",2,81.37875,22.2377430838138,0.283042885459654,0.819334107686101,0.052135554684693
"137",18,"0","1","3",1,34.46125,21.2393388993379,0.658864247943768,0.870382194177943,0.400032531780649
"138",18,"0","1","3",2,27.23,20.1911184054334,0.783304917954558,0.846960387393215,0.576960902640978
"139",18,"1","0","2",1,61.25,25.6588507644649,0.420376385244875,0.733884396655012,0.312058198123415
"140",18,"1","0","2",2,137.645,27.8163985125275,0.845957341350787,0.67839044918214,0.564435596931481
"141",18,"1","1","1",1,35.7028571428571,21.0694086130877,0.617029490528414,0.857570745002445,0.320649290941674
"142",18,"1","1","1",2,42.17375,20.8194121016619,0.553100398227762,0.795123301275332,0.371007872158594
"143",19,"0","0","4",1,35.53,24.0659774293326,0.664692103052305,0.910949623850121,0.644328430444287
"144",19,"0","0","4",2,52.5185714285714,26.3990659118296,0.548501111786145,0.708006466136737,0.277860289262995
"145",19,"0","1","3",1,32.80875,20.6455948828099,0.680360463714839,0.842336842508413,0.540625107924218
"146",19,"0","1","3",2,49.69125,20.7433603448891,0.436404869147913,0.8561949430837,0.136522495711537
"147",19,"1","0","2",1,68.08,36.0595902417413,0.499848873885559,0.64910618694855,0.717660854512784
"148",19,"1","0","2",2,235.91,34.6347082086517,0.201410677115871,0.603171402973152,0.285293372476037
"149",19,"1","1","1",1,36.7433333333333,21.363634631917,0.605395996457437,0.790516622604537,0.471992089676982
"150",19,"1","1","1",2,47.63625,20.5815545060022,0.442954116113508,0.842793361474077,0.142597337891342
"151",20,"0","0","4",1,24.2385714285714,23.5036494872356,0.973805346245922,0.784895855817902,1.25109654266489
